frequency,gain_sch
2.0417379e+09,3.1098888
2.0892961e+09,2.5029199
2.1379621e+09,1.8320467
2.1877616e+09,1.0913144
2.2387211e+09,0.27534359
2.2908677e+09,0.62045883
2.3442288e+09,1.5997358
2.3988329e+09,2.6650456
2.4547089e+09,3.817679
2.5118864e+09,5.057258
2.5703958e+09,6.3808115
2.630268e+09,7.7808039
2.6915348e+09,9.241306
2.7542287e+09,10.731313
2.8183829e+09,12.19499
2.8840315e+09,13.542607
2.9512092e+09,14.655301
3.0199517e+09,15.422257
3.0902954e+09,15.801795
3.1622777e+09,15.849095
3.2359366e+09,15.676793
3.3113112e+09,15.395194
3.3884416e+09,15.082323
3.4673685e+09,14.783465
3.5481339e+09,14.521116
3.6307805e+09,14.304373
3.7153523e+09,14.135182
3.801894e+09,14.011962
3.8904514e+09,13.931572
3.9810717e+09,13.890334
4.0738028e+09,13.884541
4.1686938e+09,13.910701
4.2657952e+09,13.965629
4.3651583e+09,14.046472
4.4668359e+09,14.150704
4.5708819e+09,14.276097
4.6773514e+09,14.420689
4.7863009e+09,14.582754
4.8977882e+09,14.760775
5.0118723e+09,14.953412
5.1286138e+09,15.159482
5.2480746e+09,15.377937
5.370318e+09,15.607847
5.4954087e+09,15.848383
5.6234133e+09,16.098804
5.7543994e+09,16.358451
5.8884366e+09,16.626727
6.0255959e+09,16.903099
6.16595e+09,17.187085
6.3095734e+09,17.478247
6.4565423e+09,17.776193
6.6069345e+09,18.080561
6.7608298e+09,18.391026
6.9183097e+09,18.707289
7.0794578e+09,19.029078
7.2443596e+09,19.356144
7.4131024e+09,19.688258
7.5857758e+09,20.02521
7.7624712e+09,20.366807
7.9432823e+09,20.71287
8.1283052e+09,21.063236
8.3176377e+09,21.417753
8.5113804e+09,21.77628
8.7096359e+09,22.138687
8.9125094e+09,22.504853
9.1201084e+09,22.874668
9.332543e+09,23.248025
9.5499259e+09,23.624829
9.7723722e+09,24.004989
1e+10,24.388419
1.023293e+10,24.77504
1.0471285e+10,25.164777
1.0715193e+10,25.55756
1.0964782e+10,25.953323
1.1220185e+10,26.352001
1.1481536e+10,26.753535
1.1748976e+10,27.157866
1.2022644e+10,27.56494
1.2302688e+10,27.974702
1.2589254e+10,28.387099
1.2882496e+10,28.802082
1.3182567e+10,29.219598
1.3489629e+10,29.639598
1.3803843e+10,30.062033
1.4125375e+10,30.486851
1.4454398e+10,30.914003
1.4791084e+10,31.343437
1.5135612e+10,31.775101
1.5488166e+10,32.208942
1.5848932e+10,32.644904
1.6218101e+10,33.082931
1.6595869e+10,33.522963
1.6982437e+10,33.964942
1.7378008e+10,34.408802
1.7782794e+10,34.854478
1.8197009e+10,35.301903
1.8620871e+10,35.751005
1.9054607e+10,36.201709
1.9498446e+10,36.653939
1.9952623e+10,37.107614
2.0417379e+10,37.562651
2.0892961e+10,38.018961
2.1379621e+10,38.476456
2.1877616e+10,38.93504
2.2387211e+10,39.394617
2.2908677e+10,39.855085
2.3442288e+10,40.316341
2.3988329e+10,40.778276
2.4547089e+10,41.240779
2.5118864e+10,41.703736
2.5703958e+10,42.167028
2.630268e+10,42.630535
2.6915348e+10,43.094132
2.7542287e+10,43.557691
2.8183829e+10,44.021084
2.8840315e+10,44.484175
2.9512092e+10,44.946831
3.0199517e+10,45.408912
3.0902954e+10,45.870279
3.1622777e+10,46.330787
3.2359366e+10,46.790294
3.3113112e+10,47.248651
3.3884416e+10,47.705711
3.4673685e+10,48.161324
3.5481339e+10,48.61534
